source,target,weight
Octave Multi Model Laboratory,Hardware and Edge,1
Octave Multi Model Laboratory,Machine Learning,1
Octave Multi Model Laboratory,Mixed reality,3.1
Octave Multi Model Laboratory,Money,1
Octave Multi Model Laboratory,National Industrial Centre for Virtual Environments,1
Open Generative AI tools,ComfyUI,1
Open Generative AI tools,Large language models,1
Open Generative AI tools,Llama,1
Overview of Machine Learning Techniques,Artificial Intelligence,1
Overview of Machine Learning Techniques,Deep Learning,3
Overview of Machine Learning Techniques,Diffusion Models,2
Overview of Machine Learning Techniques,GANs,1
Overview of Machine Learning Techniques,Large language models,2
Overview of Machine Learning Techniques,Machine Learning,2
Parametric,NVIDIA Omniverse,1
"Politics, Law, Privacy",Artificial Intelligence,4.1
"Politics, Law, Privacy",Bitcoin,2
"Politics, Law, Privacy",Blockchain,2.1
"Politics, Law, Privacy",ChatGPT,0.1
"Politics, Law, Privacy",Distributed Identity,1
"Politics, Law, Privacy",EU AI Act,2
"Politics, Law, Privacy",Education,3
"Politics, Law, Privacy",Landscape,3
"Politics, Law, Privacy",Large language models,1
"Politics, Law, Privacy",Money,1
Product Design,Agents,32
Product Design,Apple,1
Product Design,Bitcoin,19
Product Design,Blockchain,6
Product Design,Cashu,1
Product Design,ChatGPT,3
Product Design,Digital Objects,5
Product Design,Education,5
Product Design,Gemini,1
Product Design,Knowhere,3
Product Design,Landscape,6
Product Design,Large language models,2
Product Design,Machine Learning,9
Product Design,Mixed reality,8
Product Design,Money,8
Product Design,NVIDIA Omniverse,1
Product and Risk Management,Education,1
Product and Risk Management,Landscape,1
Product and Risk Management,Machine Learning,1
Product and Risk Management,"Politics, Law, Privacy",1
Product and Risk Management,Product Design,1
Prompt Engineering,AI Video,0.1
Prompt Engineering,ChatGPT,6.5
Prompt Engineering,ComfyUI,0.1
Prompt Engineering,Diagrams as Code,1
Prompt Engineering,Gold,3
Prompt Engineering,Large language models,1
Prompt Engineering,Llama,0.4
Prompt Engineering,OpenAI,0.6
Proprietary AI Video,AI Video,2
Proprietary AI Video,Deepmind,1
Proprietary AI Video,OpenAI,3.2
Proprietary Image Generation,ChatGPT,4.1
Proprietary Image Generation,Landscape,1
Proprietary Image Generation,OpenAI,1
Proprietary Large Language Models,AI Companies,1
Proprietary Large Language Models,Agents,2.1
Proprietary Large Language Models,Artificial Intelligence,1
Proprietary Large Language Models,ChatGPT,1.2
Proprietary Large Language Models,Gemini,2.1
Proprietary Large Language Models,Landscape,1
Proprietary Large Language Models,Large language models,2
Proprietary Large Language Models,Microsoft CoPilot,1
Proprietary Large Language Models,OpenAI,6.3
Proprietary Large Language Models,Prompt Engineering,1.1
Proprietary Large Language Models,Proprietary Image Generation,1
Proprietary Video VP & 3D,AI Video,2.2
Proprietary Video VP & 3D,Metaverse and Telecollaboration,1
Proprietary Video VP & 3D,NVIDIA Omniverse,1
Proprietary Video VP & 3D,Open Generative AI tools,1
RAG,Agents,1
RAG,ChatGPT,2.1
RAG,Evaluation and leaderboards,0.1
RAG,Large language models,1.1
RAG,Llama,1
RAG,OpenAI,0.3
RGB,Bitcoin,4
RGB,Blockchain,2
Recent Projects,Artificial Intelligence,0.1
Recent Projects,Bitcoin,0.1
Recent Projects,Hardware and Edge,1
Recent Projects,RGB,0.1
Revision List,Agents,1
Revision List,Deep Learning,2
Revision List,Machine Learning,6
Revision List,Prompt Engineering,1
Revision List,RAG,1
Robin Hanson,Artificial Intelligence,1
Robin Hanson,Gemini,2
Robin Hanson,Lead Poisoning Hypothesis,1
Robotics,ChatGPT,1
SLAM,RGB,0.1
Safety and alignment,AI Risks,1
Safety and alignment,Artificial Intelligence,2
Safety and alignment,Education,1
Safety and alignment,Jailbreaking,1
Safety and alignment,Large language models,0.1
Safety and alignment,Machine Learning,1
Safety and alignment,OpenAI,5.2
Sam Hammond,AI Risks,3
Sam Hammond,Deep Learning,1
Sam Hammond,Education,1
Sam Hammond,Landscape,4
Sam Hammond,OpenAI,1
Scene Capture and Reconstruction,Apple,0.2
Scene Capture and Reconstruction,Blender,0.2
Scene Capture and Reconstruction,Gaussian splatting and Similar,2
Scene Capture and Reconstruction,SLAM,2.5
Segmentation and Identification,Depth Estimation,0.1
Segmentation and Identification,Inpainting,0.1
Segmentation and Identification,Large language models,1
Segmentation and Identification,Llama,2
Semantic Web,Agents,1
Semantic Web,Apple,1
Semantic Web,Bitcoin,1
Semantic Web,Blockchain,3
Semantic Web,Large language models,3
Semantic Web,RAG,6
Social contract and jobs,AI Adoption,1
Social contract and jobs,Agents,1
Social contract and jobs,Artificial Intelligence,4
Social contract and jobs,ChatGPT,3
Social contract and jobs,Deep Learning,1
Social contract and jobs,Education,5.1
Social contract and jobs,Landscape,3
Social contract and jobs,Layoff tracker and threatened roles,2
Social contract and jobs,Llama,1
Social contract and jobs,Mixed reality,1
Social contract and jobs,Money,1
Social contract and jobs,OpenAI,1
Social contract and jobs,Robotics,1
Social contract and jobs,Singularity,1
Soon-Next-Later (AI futurology),Agents,5
Soon-Next-Later (AI futurology),Death of the Internet,2
Soon-Next-Later (AI futurology),Diagrams as Code,1
Soon-Next-Later (AI futurology),Distributed Identity,1
Soon-Next-Later (AI futurology),Education,9
Soon-Next-Later (AI futurology),Metaverse and Telecollaboration,1
Soon-Next-Later (AI futurology),Mixed reality,1
Soon-Next-Later (AI futurology),Money,1
Soon-Next-Later (AI futurology),OpenAI,1
Soon-Next-Later (AI futurology),"Politics, Law, Privacy",1
Soon-Next-Later (AI futurology),Sam Hammond,1
Soon-Next-Later (AI futurology),Social contract and jobs,1
Spatial Computing,Robotics,1
Speech and voice,AI Companies,1
Speech and voice,Agents,1
Speech and voice,Artificial Intelligence,1
Speech and voice,ChatGPT,6
Speech and voice,Large language models,2
Speech and voice,NVIDIA Omniverse,1
Speech and voice,OpenAI,2.3
Speech and voice,Product Design,1
Speech and voice,Social contract and jobs,1
Stable Coins,Bitcoin,3
Stable Coins,Blockchain,6
Stable Coins,Ethereum,5
Stable Coins,Gemini,0.3
Stable Coins,Money,6
Stable Diffusion,AI Companies,1
Stable Diffusion,AnimateDiff,0.2
Stable Diffusion,Artificial Intelligence,1
Stable Diffusion,Blender,0.3
Stable Diffusion,ChatGPT,0.1
Stable Diffusion,ComfyUI,2.3
Stable Diffusion,Diffusion Models,1.5
Stable Diffusion,Inpainting,3.1
Stable Diffusion,Landscape,1
Stable Diffusion,Machine Learning,1.1
Stable Diffusion,OpenAI,0.1
Stable Diffusion,Prompt Engineering,1.3
State Space and Other Approaches,Gemini,2
State Space and Other Approaches,Robotics,1
State of the art in AI,Agents,1
State of the art in AI,Artificial Intelligence,0.1
State of the art in AI,Death of the Internet,1
State of the art in AI,Education,2.1
State of the art in AI,Hardware and Edge,1
State of the art in AI,Large language models,1
State of the art in AI,Money,3
State of the art in AI,OpenAI,1.4
State of the art in AI,"Politics, Law, Privacy",1
State of the art in AI,Proprietary Large Language Models,1
State of the art in AI,Social contract and jobs,2
Suggested Reading Order,AI Adoption,1
Suggested Reading Order,Agents,1
Suggested Reading Order,Artificial Intelligence,1
Suggested Reading Order,BTC Layer 3,1
Suggested Reading Order,Bitcoin As Money,1
Suggested Reading Order,Bitcoin,2
Suggested Reading Order,Blockchain,1
Suggested Reading Order,Convergence,1
Suggested Reading Order,Decentralised Web,1
Suggested Reading Order,Definitions and frameworks for Metaverse,1
Suggested Reading Order,Digital Asset Risks,1
Suggested Reading Order,Digital Objects,3
Suggested Reading Order,Distributed Identity,1
Suggested Reading Order,Ethereum,1
Suggested Reading Order,Introduction to me,1
Suggested Reading Order,Large language models,1
Suggested Reading Order,Lightning and Similar L2,1
Suggested Reading Order,Machine Learning,1
Suggested Reading Order,Metaverse and Spatial Risks,1
Suggested Reading Order,Metaverse and Telecollaboration,1
Suggested Reading Order,Money,3
Suggested Reading Order,National Industrial Centre for Virtual Environments,1
Suggested Reading Order,Octave Multi Model Laboratory,1
Suggested Reading Order,Open Generative AI tools,1
Suggested Reading Order,Overview of Machine Learning Techniques,1
Suggested Reading Order,"Politics, Law, Privacy",1
Suggested Reading Order,Proprietary Image Generation,1
Suggested Reading Order,Proprietary Large Language Models,1
Suggested Reading Order,Proprietary Video VP & 3D,1
Suggested Reading Order,RGB,1
Suggested Reading Order,Semantic Web,1
Suggested Reading Order,Spatial Computing,1
Suggested Reading Order,State of the art in AI,1
Surveillance,Agents,1
Surveillance,Anthropic Claude,1
Surveillance,Artificial Intelligence,1
Surveillance,Bitcoin,7
Surveillance,ChatGPT,1
Surveillance,Landscape,1
Surveillance,Money,1
Surveillance,OpenAI,1.3
Text to 3D and 4D,Blender,3.3
Text to 3D and 4D,ComfyUI,2.2
Text to 3D and 4D,Diffusion Models,1
Text to 3D and 4D,OpenAI,0.1
